CICLO,ID_RAMO,DESC_RAMO,ID_MODALIDAD,DESC_MODALIDAD,EJERCIDO_MPD
2016,16,Medio Ambiente y Recursos Naturales,K,Proyectos de Inversión,10299.034493930001
2016,16,Medio Ambiente y Recursos Naturales,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,2419.09181568
2016,16,Medio Ambiente y Recursos Naturales,N,Desastres Naturales,207.80563414000002
2016,16,Medio Ambiente y Recursos Naturales,O,Apoyo a la función pública y al mejoramiento de la gestión,140.17103294
2016,16,Medio Ambiente y Recursos Naturales,P,"Planeación, seguimiento y evaluación de políticas públicas",1560.15232229
2016,16,Medio Ambiente y Recursos Naturales,R,Específicos,219.459518
2016,16,Medio Ambiente y Recursos Naturales,S,Sujetos a Reglas de Operación,19718.27473399
2016,16,Medio Ambiente y Recursos Naturales,U,Otros Subsidios,6122.52824252
2016,17,Procuraduría General de la República,E,Prestación de Servicios Públicos,15224.54761163
2016,17,Procuraduría General de la República,K,Proyectos de Inversión,101.01524181
2016,17,Procuraduría General de la República,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,1200.44643503
2016,17,Procuraduría General de la República,O,Apoyo a la función pública y al mejoramiento de la gestión,81.88993889
2016,18,Energía,E,Prestación de Servicios Públicos,2723.07782723
2016,18,Energía,G,Regulación y supervisión,127.94471782
2016,18,Energía,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,282.81011345999997
2016,18,Energía,O,Apoyo a la función pública y al mejoramiento de la gestión,49.12665825
2016,18,Energía,P,"Planeación, seguimiento y evaluación de políticas públicas",322784.79807798
2016,18,Energía,R,Específicos,3028.178898
2016,19,Aportaciones a Seguridad Social,J,Pensiones y jubilaciones,457459.79439533
2016,19,Aportaciones a Seguridad Social,R,Específicos,12585.49008753
2016,19,Aportaciones a Seguridad Social,S,Sujetos a Reglas de Operación,10201.3
2016,19,Aportaciones a Seguridad Social,T,Aportaciones a la seguridad social,100065.511303
2016,19,Aportaciones a Seguridad Social,U,Otros Subsidios,518.66995651
2016,20,Desarrollo Social,B,Provisión de Bienes Públicos,1702.43531549
2016,20,Desarrollo Social,E,Prestación de Servicios Públicos,600.94798402
2016,20,Desarrollo Social,K,Proyectos de Inversión,1.9780101
2016,20,Desarrollo Social,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,1347.34384042
2016,20,Desarrollo Social,O,Apoyo a la función pública y al mejoramiento de la gestión,78.56071102
2016,20,Desarrollo Social,P,"Planeación, seguimiento y evaluación de políticas públicas",2748.77231304
2016,20,Desarrollo Social,S,Sujetos a Reglas de Operación,97247.35940571001
2016,20,Desarrollo Social,U,Otros Subsidios,2484.48980384
2016,21,Turismo,E,Prestación de Servicios Públicos,410.8402372
2016,21,Turismo,F,Promoción y fomento,6304.55029859
2016,21,Turismo,G,Regulación y supervisión,60.38596049
2016,21,Turismo,K,Proyectos de Inversión,793.9591748199999
2016,21,Turismo,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,254.29679338
2016,21,Turismo,O,Apoyo a la función pública y al mejoramiento de la gestión,52.15815276
2016,21,Turismo,P,"Planeación, seguimiento y evaluación de políticas públicas",272.43326961
2016,21,Turismo,S,Sujetos a Reglas de Operación,972.7002784800001
2016,22,Instituto Nacional Electoral,M,Apoyo al proceso presupuestario y para mejorar la eficiencia institucional,2909.4648932399996
2016,22,Instituto Nacional Electoral,O,Apoyo a la función pública y al mejoramiento de la gestión,136.83433889
2016,22,Instituto Nacional Electoral,P,"Planeación, seguimiento y evaluación de políticas públicas",37.81096961
2016,22,Instituto Nacional Electoral,R,Específicos,12508.965767200001
2016,23,Provisiones Salariales y Económicas,N,Desastres Naturales,15406.70527
2016,23,Provisiones Salariales y Económicas,R,Específicos,7125.17195017
2016,23,Provisiones Salariales y Económicas,U,Otros Subsidios,140701.69950951
2016,23,Provisiones Salariales y Económicas,Y,Aportaciones a fondos de estabilización,83803.72628
2016,24,Deuda Pública,D,"Costo financiero, deuda o apoyos a deudores y ahorradores de la banca",361388.55401716
2016,25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",E,Prestación de Servicios Públicos,36482.26339569
2016,25,"Previsiones y Aportaciones para los Sistemas de Educación Básica, Normal, Tecnológica y de Adultos",I,Gasto Federalizado,0
